ml_bounds,ml_target,consider_only_true_max,epsilon_greedy,adaptive_method_kernel,af,threshold,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
indicator,None,False,False,None,eic,205000,inf,inf,1.6,0.316,86.667,10.513
probability,None,False,False,None,eic,205000,1.524,0.081,1.524,0.081,100.0,10.347
indicator,indicator,False,False,None,eic,205000,inf,inf,5.983,3.51,93.333,11.231
indicator,probability,False,False,None,eic,205000,inf,inf,1.522,0.087,86.667,11.195
indicator,sum,False,False,None,eic,205000,1.645,0.406,1.645,0.406,100.0,10.83
indicator,product,False,False,None,eic,205000,inf,inf,2.004,1.771,96.667,10.703
indicator,None,True,False,None,eic,205000,inf,inf,1.714,0.518,30.0,7.328
indicator,None,False,True,None,eic,205000,inf,inf,2.021,1.8,93.333,9.999
indicator,None,False,False,RBF,ucb,205000,inf,inf,4.57,3.409,93.333,67.719
indicator,None,False,False,Matern,ucb,205000,inf,inf,5.788,3.539,83.333,74.832
indicator,None,False,False,RBF,eic,205000,inf,inf,1.603,0.322,83.333,29.027
indicator,None,False,False,Matern,eic,205000,inf,inf,2.005,1.771,96.667,33.931
