observed_throughput_ffmpeg-0;avg_response_time_ffmpeg-0;parallelism_ffmpeg-0;observed_throughput_librosa;avg_response_time_librosa;parallelism_librosa;observed_throughput_ffmpeg-1;avg_response_time_ffmpeg-1;parallelism_ffmpeg-1;observed_throughput_ffmpeg-2;avg_response_time_ffmpeg-2;parallelism_ffmpeg-2;observed_throughput_deepspeech;avg_response_time_deepspeech;parallelism_deepspeech;total_time;-cost
0,25936;27,4433;2;0,29217;7,57732;4;0,29664;4,85567;2;0,29483;10;4;0,30124;5,08247;4;54,95876;-0,173553833
0,4878;26,57;4;0,46729;13,25;6;0,4717;4,86;4;0,45872;9,33;8;0,46948;6,22;4;60,23;-0,174361111
0,46729;29,8;4;0,46083;13,07;6;0,45662;4,87;4;0,44643;9,44;8;0,45249;4,86;4;62,04;-0,177944444
0,25876;35,86458;2;0,29538;10,23958;4;0,29721;5,73958;2;0,2963;10,88542;4;0,30189;3,59375;4;66,32291;-0,197945625
0,47619;29,48;4;0,46948;7,91;6;0,47619;4,85;4;0,40816;20,24;6;0,41841;4,41;4;66,89;-0,289680556
0,47393;28,21;4;0,46948;10,87;6;0,47619;5,63;4;0,41841;17,41;6;0,42918;6,06;4;68,18;-0,263958333
0,34602;71,38;4;0,3268;17,03;4;0,33003;3,24;4;0,32362;9,14;8;0,32895;3,4;4;104,19;-0,233569444
0,24557;78,83505;2;0,27954;6,61856;4;0,2828;6,20619;2;0,28116;9,15464;8;0,28529;8,30928;2;109,12372;-0,240564167
0,46569;24,74737;4;0,39419;21,88421;6;0,41228;3,75532;4;0,28485;54,71277;4;0,28221;6,16304;4;111,26271;-0,68646125
0,48077;30,23;4;0,39683;26,54;6;0,40161;3,94;4;0,29674;49,32;4;0,28406;7,52041;4;117,55041;-0,642764458
0,33557;73,44;4;0,33333;12,96;4;0,3367;8,74;4;0,40984;15,72;8;0,41841;8,41;4;119,27;-0,318486111
0,2315;88,98969;2;0,26287;7,2268;4;0,26836;4,87368;2;0,26611;9,4;6;0,26989;10,85263;2;121,3428;-0,259920556
0,22371;82,96;2;0,271;32,94;4;0,27855;5,99;2;0,27397;11,4;4;0,27855;4,28;4;137,57;-0,301902778
