#vm,time,-cost
6,6816079,-40896474
6,6891322,-41347932
6,6858430,-41150580
6,6821646,-40929876
6,6886133,-41316798
6,6868619,-41211714
40,240561,-9622440
40,239949,-9597960
40,239828,-9593120
40,238974,-9558960
40,240298,-9611920
40,239703,-9588120
42,230676,-9688392
42,233137,-9791754
42,232758,-9775836
42,234241,-9838122
42,233535,-9808470
42,233174,-9793308
44,228960,-10074240
44,230614,-10147016
44,230571,-10145124
44,230690,-10150360
44,223736,-9844384
44,227949,-10029756
22,391492,-8612824
22,395470,-8700340
22,391369,-8610118
22,391138,-8605036
22,392096,-8626112
22,393742,-8662324
36,260624,-9382464
36,260487,-9377532
36,261285,-9406260
36,258166,-9293976
36,257283,-9262188
36,257229,-9260244
20,427162,-8543240
20,428561,-8571220
20,432452,-8649040
20,428421,-8568420
20,426607,-8532140
20,425075,-8501500
34,271240,-9222160
34,271989,-9247626
34,270708,-9204072
34,271764,-9239976
34,269756,-9171704
34,267334,-9089356
18,469661,-8453898
18,471563,-8488134
18,471635,-8489430
18,467234,-8410212
18,471796,-8492328
18,469991,-8459838
30,300125,-9003750
30,299603,-8988090
30,298978,-8969340
30,300138,-9004140
30,299519,-8985570
30,300334,-9010020
24,366375,-8793000
24,360863,-8660712
24,358794,-8611056
24,362346,-8696304
24,361388,-8673312
24,361011,-8664264
32,285460,-9134720
32,283135,-9060320
32,282262,-9032384
32,283325,-9066400
32,284905,-9116960
32,283983,-9087456
26,335740,-8729240
26,337497,-8774922
26,337004,-8762104
26,336379,-8745854
26,341129,-8869354
26,336493,-8748818
16,721876,-11550016
16,698264,-11172224
16,724091,-11585456
16,721576,-11545216
16,708923,-11342768
16,734215,-11747440
14,1189062,-16646868
14,1202280,-16831920
14,1191110,-16675540
14,1187983,-16631762
14,1203126,-16843764
14,1190807,-16671298
28,316787,-8870036
28,316834,-8871352
28,318521,-8918588
28,316989,-8875692
28,316373,-8858444
28,319185,-8937180
10,2938966,-29389660
10,2921998,-29219980
10,2926742,-29267420
10,2930735,-29307350
10,2936899,-29368990
10,2923538,-29235380
38,248790,-9454020
38,247305,-9397590
38,245693,-9336334
38,250362,-9513756
38,252833,-9607654
38,250568,-9521584
12,1931755,-23181060
12,1924870,-23098440
12,1945738,-23348856
12,1938566,-23262792
12,1940747,-23288964
12,1922429,-23069148
8,4375936,-35007488
8,4362074,-34896592
8,4383782,-35070256
8,4368100,-34944800
8,4434457,-35475656
8,4389268,-35114144
