time,#vm,-cost
1695523,6,-10173138
1689265,6,-10135590
1691713,6,-10150278
1685947,6,-10115682
1685752,6,-10114512
1283981,8,-10271848
1289938,8,-10319504
1274162,8,-10193296
1270304,8,-10162432
1266756,8,-10134048
1032244,10,-10322440
1025043,10,-10250430
1038406,10,-10384060
1038954,10,-10389540
1030873,10,-10308730
1030901,10,-10309010
1030848,10,-10308480
1030529,10,-10305290
1023260,10,-10232600
1039371,10,-10393710
866815,12,-10401780
858816,12,-10305792
866101,12,-10393212
855623,12,-10267476
866667,12,-10400004
866689,12,-10400268
868216,12,-10418592
871588,12,-10459056
877775,12,-10533300
867699,12,-10412388
755202,14,-10572828
753711,14,-10551954
758831,14,-10623634
745457,14,-10436398
740944,14,-10373216
740936,14,-10373104
749462,14,-10492468
745418,14,-10435852
743655,14,-10411170
755208,14,-10572912
664763,16,-10636208
669353,16,-10709648
666376,16,-10662016
659979,16,-10559664
664383,16,-10630128
611174,18,-11001132
605113,18,-10892034
603270,18,-10858860
604588,18,-10882584
608928,18,-10960704
565575,20,-11311500
570392,20,-11407840
562234,20,-11244680
559756,20,-11195120
563827,20,-11276540
524300,22,-11534600
525167,22,-11553674
527115,22,-11596530
527393,22,-11602646
522452,22,-11493944
494420,24,-11866080
493930,24,-11854320
494009,24,-11856216
493511,24,-11844264
494328,24,-11863872
482069,26,-12533794
480963,26,-12505038
480368,26,-12489568
479859,26,-12476334
479046,26,-12455196
464071,28,-12993988
466634,28,-13065752
464266,28,-12999448
467794,28,-13098232
465548,28,-13035344
451165,30,-13534950
450866,30,-13525980
452565,30,-13576950
450727,30,-13521810
452248,30,-13567440
440520,32,-14096640
437813,32,-14010016
440177,32,-14085664
441975,32,-14143200
439925,32,-14077600
430071,34,-14622414
431536,34,-14672224
431589,34,-14674026
431564,34,-14673176
430865,34,-14649410
421536,36,-15175296
422504,36,-15210144
424224,36,-15272064
422065,36,-15194340
421851,36,-15186636
412618,38,-15679484
413454,38,-15711252
416870,38,-15841060
414338,38,-15744844
412439,38,-15672682
406403,40,-16256120
404194,40,-16167760
404405,40,-16176200
404330,40,-16173200
404655,40,-16186200
405948,42,-17049816
405454,42,-17029068
404699,42,-16997358
405323,42,-17023566
405958,42,-17050236
404390,44,-17793160
403867,44,-17770148
403434,44,-17751096
412782,44,-18162408
403541,44,-17755804
