#vm,time,-cost
6,2476680,-14860080
6,2482858,-14897148
6,2529409,-15176454
6,2500605,-15003630
6,2533649,-15201894
40,630873,-25234920
40,630332,-25213280
40,627669,-25106760
40,626607,-25064280
40,631442,-25257680
42,624387,-26224254
42,624540,-26230680
42,627721,-26364282
42,631432,-26520144
42,631286,-26514012
44,629717,-27707548
44,628526,-27655144
44,628036,-27633584
44,628417,-27650348
44,629432,-27695008
22,813608,-17899376
22,819337,-18025414
22,821220,-18066840
22,836290,-18398380
22,818632,-18009904
36,663217,-23875812
36,666090,-23979240
36,657774,-23679864
36,660492,-23777712
36,665680,-23964480
20,872699,-17453980
20,863212,-17264240
20,868565,-17371300
20,869088,-17381760
20,872039,-17440780
34,684562,-23275108
34,682140,-23192760
34,682804,-23215336
34,690987,-23493558
34,683074,-23224516
18,938852,-16899336
18,928194,-16707492
18,928419,-16711542
18,934665,-16823970
18,930395,-16747110
30,710614,-21318420
30,711111,-21333330
30,709324,-21279720
30,708500,-21255000
30,710330,-21309900
24,772379,-18537096
24,776024,-18624576
24,777143,-18651432
24,796586,-19118064
24,772374,-18536976
32,691878,-22140096
32,693768,-22200576
32,697228,-22311296
32,694297,-22217504
32,689474,-22063168
26,748095,-19450470
26,755897,-19653322
26,755247,-19636422
26,748693,-19466018
26,747527,-19435702
16,1010810,-16172960
16,1017490,-16279840
16,1009411,-16150576
16,1013510,-16216160
16,1008255,-16132080
14,1141339,-15978746
14,1149067,-16086938
14,1139168,-15948352
14,1138902,-15944628
14,1127748,-15788472
14,1135761,-15900654
14,1125146,-15752044
14,1126762,-15774668
14,1125387,-15755418
14,1121723,-15704122
28,728176,-20388928
28,731352,-20477856
28,730765,-20461420
28,729227,-20418356
28,729188,-20417264
10,1529204,-15292040
10,1524173,-15241730
10,1528333,-15283330
10,1535149,-15351490
10,1532750,-15327500
10,1532549,-15325490
10,1533241,-15332410
10,1542068,-15420680
10,1541481,-15414810
10,1544019,-15440190
38,657078,-24968964
38,654706,-24878828
38,647046,-24587748
38,659667,-25067346
38,646463,-24565594
12,1304980,-15659760
12,1303600,-15643200
12,1308924,-15707088
12,1314609,-15775308
12,1307928,-15695136
12,1311216,-15734592
12,1306883,-15682596
12,1290467,-15485604
12,1304305,-15651660
12,1302222,-15626664
8,1862561,-14900488
8,1881680,-15053440
8,1861344,-14890752
8,1885003,-15080024
8,1877005,-15016040
