#vm,ram,time,-cost
3,0.2,2114486,-6343458
3,0.2,2067275,-6201825
3,0.2,2204273,-6612819
3,0.2,2077473,-6232419
3,0.2,2104437,-6313311
3,0.2,2075928,-6227784
3,0.2,2082426,-6247278
3,0.2,2130915,-6392745
3,0.2,2120585,-6361755
3,0.2,2077021,-6231063
3,0.2,2103648,-6310944
3,0.2,2054985,-6164955
4,0.2,1607365,-6429460
4,0.2,1614220,-6456880
4,0.2,1599570,-6398280
4,0.2,1653502,-6614008
4,0.2,1611345,-6445380
4,0.2,1770313,-7081252
4,0.2,1738555,-6954220
4,0.2,1613572,-6454288
5,0.2,1251948,-6259740
5,0.2,1256543,-6282715
5,0.2,1257251,-6286255
5,0.2,1266842,-6334210
5,0.2,1255805,-6279025
5,0.2,1255255,-6276275
5,0.2,1266554,-6332770
5,0.2,1308181,-6540905
5,0.2,1251170,-6255850
5,0.2,1262121,-6310605
5,0.2,1297234,-6486170
5,0.2,1291701,-6458505
5,0.2,1272229,-6361145
5,0.2,1294388,-6471940
6,0.2,1069426,-6416556
6,0.2,1048201,-6289206
6,0.2,1073208,-6439248
6,0.2,1066710,-6400260
6,0.2,1067804,-6406824
6,0.2,1078611,-6471666
7,0.2,912457,-6387199
7,0.2,885971,-6201797
7,0.2,924804,-6473628
7,0.2,975096,-6825672
7,0.2,917855,-6424985
7,0.2,901759,-6312313
7,0.2,951244,-6658708
7,0.2,914183,-6399281
7,0.2,927534,-6492738
7,0.2,895614,-6269298
7,0.2,961240,-6728680
7,0.2,921470,-6450290
7,0.2,933992,-6537944
7,0.2,905722,-6340054
7,0.2,907679,-6353753
7,0.2,886924,-6208468
7,0.2,914705,-6402935
7,0.2,900309,-6302163
8,0.2,823038,-6584304
8,0.2,851437,-6811496
8,0.2,820998,-6567984
8,0.2,835927,-6687416
8,0.2,839799,-6718392
8,0.2,796419,-6371352
8,0.2,825561,-6604488
9,0.2,716785,-6451065
9,0.2,791516,-7123644
9,0.2,726248,-6536232
9,0.2,784266,-7058394
9,0.2,767739,-6909651
9,0.2,779134,-7012206
9,0.2,727108,-6543972
9,0.2,778862,-7009758
9,0.2,760803,-6847227
9,0.2,809852,-7288668
9,0.2,771912,-6947208
9,0.2,748544,-6736896
9,0.2,751914,-6767226
9,0.2,731143,-6580287
9,0.2,736359,-6627231
9,0.2,735090,-6615810
9,0.2,808506,-7276554
9,0.2,746505,-6718545
10,0.2,668979,-6689790
10,0.2,739119,-7391190
10,0.2,689304,-6893040
10,0.2,654405,-6544050
10,0.2,658258,-6582580
10,0.2,687592,-6875920
10,0.2,691234,-6912340
10,0.2,671569,-6715690
10,0.2,677074,-6770740
11,0.2,613095,-6744045
11,0.2,599198,-6591178
11,0.2,613199,-6745189
11,0.2,628646,-6915106
11,0.2,601786,-6619646
11,0.2,599628,-6595908
11,0.2,598296,-6581256
11,0.2,607848,-6686328
11,0.2,606228,-6668508
11,0.2,604852,-6653372
11,0.2,605832,-6664152
11,0.2,604970,-6654670
11,0.2,626920,-6896120
11,0.2,611659,-6728249
11,0.2,595836,-6554196
11,0.2,628533,-6913863
11,0.2,600207,-6602277
11,0.2,603925,-6643175
11,0.2,612728,-6740008
12,0.2,556969,-6683628
12,0.2,553330,-6639960
12,0.2,564446,-6773352
12,0.2,558509,-6702108
12,0.2,566854,-6802248
12,0.2,566846,-6802152
12,0.2,561091,-6733092
13,0.2,505697,-6574061
13,0.2,510793,-6640309
13,0.2,509502,-6623526
13,0.2,501746,-6522698
13,0.2,507455,-6596915
13,0.2,510991,-6642883
13,0.2,507823,-6601699
13,0.2,507389,-6596057
