ml_bounds,ml_target,consider_only_true_max,epsilon_greedy,adaptive_method_kernel,af,threshold,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
indicator,None,False,False,None,eic,17000,16.181,42.436,16.181,42.436,100.0,107.063
probability,None,False,False,None,eic,17000,26.401,53.562,26.401,53.562,100.0,98.748
indicator,indicator,False,False,None,eic,17000,0.075,0.214,0.075,0.214,100.0,118.808
indicator,probability,False,False,None,eic,17000,6.756,14.998,6.756,14.998,100.0,101.341
indicator,sum,False,False,None,eic,17000,2.783,6.057,2.783,6.057,100.0,121.869
indicator,product,False,False,None,eic,17000,5.42,8.279,5.42,8.279,100.0,99.6
indicator,None,True,False,None,eic,17000,15.706,42.083,15.706,42.083,100.0,106.94
indicator,None,False,True,None,eic,17000,27.911,55.469,27.911,55.469,100.0,96.272
indicator,None,False,False,RBF,ucb,17000,27.635,51.34,27.635,51.34,100.0,186.019
indicator,None,False,False,Matern,ucb,17000,27.569,63.143,27.569,63.143,100.0,117.034
indicator,None,False,False,RBF,eic,17000,9.997,12.871,9.997,12.871,100.0,71.484
indicator,None,False,False,Matern,eic,17000,22.578,53.768,22.578,53.768,100.0,82.987
